Region,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Dependancy ratio
WORLD,2007,  642 225,  612 830,  605 743,  622 484,  586 544,  530 745,  497 022,  485 331,  446 840,  370 051,  339 827,  278 181,  205 487,  172 265,  135 866,  97 731,  59 146,  26 453,  8 876,  2 050,   252,54.17604541
WORLD,2008,  648 366,  616 195,  604 593,  619 294,  595 850,  542 674,  496 788,  490 356,  451 447,  381 643,  347 006,  289 309,  215 085,  173 392,  139 111,  99 580,  61 293,  28 186,  8 994,  2 168,   269,53.77973147
WORLD,2009,  655 242,  620 181,  604 173,  614 937,  605 103,  552 760,  499 080,  492 634,  456 235,  397 179,  351 147,  299 847,  226 197,  174 947,  142 123,  101 369,  63 402,  29 891,  9 286,  2 285,   288,53.46214321
WORLD,2010,  662 000,  623 975,  605 128,  609 030,  613 648,  562 122,  505 063,  492 851,  462 875,  412 534,  353 029,  309 891,  238 845,  176 905,  144 938,  103 338,  65 519,  31 350,  9 872,  2 380,   308,53.19680103
WORLD,2011,  668 509,  627 847,  607 415,  604 324,  618 119,  571 479,  513 793,  491 775,  470 405,  427 455,  354 727,  318 645,  251 149,  180 712,  147 401,  105 832,  67 389,  32 734,  10 645,  2 441,   330,53.03595069
WORLD,2012,  675 141,  633 113,  610 300,  602 124,  617 020,  580 664,  525 100,  490 952,  478 013,  437 701,  359 494,  326 651,  262 391,  187 716,  149 131,  108 740,  69 024,  34 169,  11 417,  2 484,   353,53.02417039
WORLD,2013,  680 780,  639 867,  613 788,  601 018,  613 764,  589 719,  536 726,  490 724,  483 254,  442 621,  371 201,  333 762,  273 096,  196 707,  150 521,  111 665,  70 639,  35 579,  12 243,  2 541,   377,53.09898455
WORLD,2014,  684 753,  647 382,  617 933,  600 881,  609 316,  598 804,  546 477,  492 888,  485 805,  447 754,  386 729,  337 865,  283 274,  207 046,  152 273,  114 393,  72 263,  37 016,  13 095,  2 663,   402,53.22190216
WORLD,2015,  687 534,  654 825,  621 947,  602 200,  603 232,  607 261,  555 541,  498 722,  486 244,  454 681,  401 965,  339 733,  292 991,  218 854,  154 270,  116 977,  74 025,  38 468,  13 825,  2 878,   422,53.36065752
WORLD,2016,  689 598,  661 842,  626 078,  604 712,  598 620,  611 841,  564 864,  507 434,  485 136,  462 334,  416 632,  341 385,  301 362,  230 360,  157 902,  119 326,  76 168,  39 782,  14 514,  3 143,   441,53.51414662
WORLD,2017,  690 361,  668 653,  631 596,  607 786,  596 914,  610 964,  574 227,  518 768,  484 138,  469 834,  426 628,  345 994,  308 916,  240 869,  164 413,  121 120,  78 569,  40 998,  15 223,  3 393,   459,53.71284883
WORLD,2018,  688 660,  674 325,  638 451,  611 398,  596 336,  607 945,  583 570,  530 474,  483 799,  474 886,  431 477,  357 371,  315 665,  250 874,  172 674,  122 630,  80 949,  42 251,  15 921,  3 658,   476,53.89369839
WORLD,2019,  684 873,  678 417,  645 916,  615 536,  596 534,  603 856,  592 986,  540 438,  485 896,  477 195,  436 583,  372 484,  319 587,  260 374,  182 095,  124 404,  83 165,  43 535,  16 658,  3 918,   504,54.03307398
WORLD,2020,  679 146,  681 411,  653 182,  619 494,  598 043,  598 212,  601 653,  549 705,  491 738,  477 345,  443 293,  387 139,  321 115,  269 184,  192 455,  126 084,  85 059,  44 649,  17 370,  4 129,   548,54.11475716
WORLD,2021,  671 477,  683 612,  659 934,  623 561,  600 697,  593 832,  606 213,  558 995,  500 404,  476 003,  450 467,  400 890,  321 938,  276 129,  201 868,  128 623,  86 296,  45 540,  17 902,  4 322,   593,54.08720734
United Kingdom,1950,  4 316,  3 608,  3 336,  3 128,  3 376,  3 852,  3 458,  3 851,  3 844,  3 561,  3 143,  2 741,  2 416,  2 052,  1 600,  1 034,   512,   182,   41,   5,   0,50.00604384
United Kingdom,1951,  4 253,  3 782,  3 346,  3 138,  3 326,  3 738,  3 566,  3 771,  3 850,  3 597,  3 219,  2 770,  2 430,  2 056,  1 615,  1 058,   524,   186,   42,   5,   0,50.4901604
United Kingdom,1952,  4 110,  3 996,  3 370,  3 171,  3 283,  3 639,  3 701,  3 639,  3 848,  3 635,  3 292,  2 800,  2 449,  2 065,  1 627,  1 078,   541,   191,   43,   5,   0,50.89252203
United Kingdom,1953,  3 980,  4 156,  3 431,  3 225,  3 245,  3 563,  3 826,  3 480,  3 841,  3 673,  3 364,  2 840,  2 467,  2 085,  1 639,  1 101,   562,   200,   45,   6,   0,51.32005656
United Kingdom,1954,  3 906,  4 229,  3 524,  3 279,  3 215,  3 501,  3 869,  3 385,  3 832,  3 701,  3 425,  2 894,  2 490,  2 105,  1 650,  1 121,   581,   208,   48,   6,   0,51.73858932
United Kingdom,1955,  3 868,  4 249,  3 642,  3 308,  3 200,  3 448,  3 802,  3 413,  3 800,  3 720,  3 470,  2 966,  2 518,  2 120,  1 661,  1 139,   601,   214,   50,   7,   0,52.16333988
United Kingdom,1956,  3 875,  4 191,  3 815,  3 320,  3 200,  3 402,  3 690,  3 521,  3 724,  3 731,  3 505,  3 043,  2 547,  2 136,  1 669,  1 154,   620,   221,   51,   7,   0,52.66158397
United Kingdom,1957,  3 925,  4 052,  4 029,  3 347,  3 221,  3 362,  3 594,  3 655,  3 595,  3 732,  3 540,  3 119,  2 577,  2 154,  1 681,  1 168,   638,   232,   54,   7,   1,53.1694967
United Kingdom,1958,  3 992,  3 928,  4 185,  3 412,  3 262,  3 324,  3 521,  3 781,  3 437,  3 728,  3 574,  3 192,  2 614,  2 171,  1 699,  1 178,   656,   243,   56,   8,   1,53.52819842
United Kingdom,1959,  4 069,  3 860,  4 256,  3 508,  3 304,  3 290,  3 463,  3 827,  3 343,  3 723,  3 599,  3 255,  2 664,  2 192,  1 716,  1 186,   669,   252,   59,   8,   1,53.76594526
United Kingdom,1960,  4 173,  3 825,  4 276,  3 626,  3 321,  3 267,  3 415,  3 761,  3 375,  3 695,  3 616,  3 303,  2 731,  2 218,  1 729,  1 196,   683,   263,   61,   9,   1,54.0439492
United Kingdom,1961,  4 294,  3 833,  4 217,  3 798,  3 322,  3 258,  3 374,  3 651,  3 488,  3 624,  3 625,  3 340,  2 804,  2 243,  1 744,  1 205,   696,   274,   64,   9,   1,54.19208788
United Kingdom,1962,  4 409,  3 882,  4 075,  4 012,  3 339,  3 268,  3 336,  3 558,  3 625,  3 501,  3 624,  3 376,  2 875,  2 268,  1 757,  1 214,   704,   283,   68,   9,   1,54.09744387
United Kingdom,1963,  4 522,  3 946,  3 946,  4 170,  3 394,  3 299,  3 299,  3 488,  3 752,  3 346,  3 619,  3 409,  2 944,  2 298,  1 769,  1 228,   708,   290,   71,   10,   1,54.11431928
United Kingdom,1964,  4 640,  4 020,  3 875,  4 244,  3 480,  3 330,  3 263,  3 433,  3 799,  3 253,  3 611,  3 435,  3 006,  2 342,  1 786,  1 244,   715,   299,   75,   10,   1,54.5332668
United Kingdom,1965,  4 740,  4 122,  3 838,  4 267,  3 589,  3 339,  3 237,  3 389,  3 732,  3 285,  3 585,  3 452,  3 054,  2 402,  1 809,  1 260,   728,   310,   80,   11,   1,55.25792713
United Kingdom,1966,  4 791,  4 241,  3 843,  4 214,  3 755,  3 329,  3 225,  3 350,  3 620,  3 397,  3 517,  3 459,  3 093,  2 466,  1 831,  1 273,   740,   319,   84,   12,   1,56.07096896
United Kingdom,1967,  4 800,  4 355,  3 888,  4 077,  3 968,  3 336,  3 231,  3 313,  3 528,  3 530,  3 399,  3 457,  3 132,  2 532,  1 856,  1 289,   753,   329,   89,   13,   1,56.91667501
United Kingdom,1968,  4 774,  4 465,  3 950,  3 952,  4 130,  3 383,  3 259,  3 276,  3 458,  3 660,  3 248,  3 452,  3 168,  2 596,  1 885,  1 302,   768,   336,   93,   14,   1,57.69333648
United Kingdom,1969,  4 711,  4 576,  4 023,  3 886,  4 208,  3 462,  3 290,  3 238,  3 405,  3 713,  3 152,  3 444,  3 193,  2 650,  1 921,  1 314,   779,   341,   97,   15,   1,58.3813922
United Kingdom,1970,  4 622,  4 669,  4 124,  3 853,  4 240,  3 566,  3 297,  3 209,  3 361,  3 649,  3 183,  3 418,  3 209,  2 693,  1 969,  1 330,   790,   349,   101,   16,   1,59.0655443
United Kingdom,1971,  4 539,  4 716,  4 242,  3 861,  4 197,  3 728,  3 286,  3 193,  3 323,  3 540,  3 291,  3 356,  3 216,  2 732,  2 024,  1 349,   802,   358,   105,   17,   1,59.68534251
United Kingdom,1972,  4 438,  4 722,  4 355,  3 910,  4 069,  3 941,  3 290,  3 196,  3 286,  3 452,  3 420,  3 243,  3 215,  2 768,  2 080,  1 368,   812,   366,   109,   18,   1,60.06863436
United Kingdom,1973,  4 292,  4 695,  4 463,  3 974,  3 950,  4 106,  3 336,  3 220,  3 246,  3 386,  3 547,  3 096,  3 211,  2 800,  2 133,  1 390,   819,   373,   112,   19,   2,60.15718844
